goal_difference,median_n_prev_passes,median_distance
-11,0.0,12.0
-10,0.0,12.653062870309302
-9,0.0,24.920072231034965
-8,1.0,28.72779129579085
-7,1.0,21.963264549817517
-6,1.0,20.134050759844627
-5,1.0,22.848413511664216
-4,1.0,20.83866598417471
-3,1.0,19.88617610301186
-2,1.0,20.01174579554467
-1,1.0,19.042977378438305
0,1.0,19.437077969694936
1,1.0,17.047287174210446
2,1.0,16.36154026979122
3,1.0,16.162301816263668
4,1.0,15.811388300841896
5,1.0,14.894629904767692
6,1.0,14.716483210106514
7,1.0,14.621901381147394
8,1.0,11.87139418939494
9,1.0,15.556652671823464
10,1.0,11.294689017409912
11,1.0,13.600367642089678
12,1.0,15.746788972227993
13,1.0,11.335784048754627
