feature,mean_abs_shap_orig,mean_abs_shap_resid
goal_difference,1.0488359273076469,1.071902623036255
angle,0.8212832492166408,0.9572774778950245
angular_pressure,0.32180944685294266,0.33590779337028354
gk_distance,0.3176625718705464,0.31433350033590973
distance,0.29376974101269815,0.29339546847619014
minute,0.21132851716722728,0.22477560157262605
defenders_in_5m,0.17081636854171,0.17171126432860542
n_prev_passes,0.08442659961232428,0.0978161784924667
is_home,0.06653712683445061,0.0623151120607353
abs_goal_diff,0.04328253096046016,0.05900078778138542
